backlog,case,clock_bound_ms,command_id,executed_at_ms,execution_count,expires_at_ms,lateness_ms,note,outcome,receipt_count,received_at_ms,rep,terminal_observed,test,ttl_s,wall_mono_drift_ms
,broker_offline,,41ba639fa43d45b0a64dac21ced19c1b,,0,,,Persistent session resumed; long-lived queued sentinel delivered.,BROKER_CONTROL_PASS,,,4,,C0_broker_offline,,
False,baseline_queued,250,9a1564b1709f44f19c382d9cf026867d,1789597180166.199,1,1789597183164.6533,-2998.454345703125,,ON_TIME_VIRTUAL_ACTUATION,1,1789597180169.657,4,True,C1_idle_short,3,0.0007736962288618088
True,baseline_queued,250,025bcf74680945fb8120bb4cb021ecdb,1789597196530.3381,1,1789597191805.0637,4725.2744140625,,LATE_VIRTUAL_ACTUATION,1,1789597188807.123,4,True,C2_queued_short,3,0.0031909439712762833
True,baseline_queued,250,88ac42f0fe6b464097c2259f9f2b227d,1789597212914.218,1,1789597235186.9824,-22272.764404296875,,ON_TIME_VIRTUAL_ACTUATION,1,1789597205189.807,4,True,C3_queued_long,30,1.7229467630386353e-05
True,baseline_parallel,250,dfa73b1ba49c406b9a8f5a1f427dd6bf,1789597221558.177,1,1789597224552.9622,-2994.78515625,,ON_TIME_VIRTUAL_ACTUATION,1,1789597221563.708,4,True,C4_parallel_short,3,0.0010256189852952957
True,admission_queued,250,1143206ea10d4db9889643f5f33691eb,1789597237935.229,1,1789597233209.5317,4725.697265625,,LATE_VIRTUAL_ACTUATION,1,1789597230211.977,4,True,C5_admission_short,3,0.0006190966814756393
True,execution_queued,250,bdf61c8b37784cd9a7b8c1b679dcbe16,,0,1789597249569.5012,,,REJECTED_AT_EXECUTION_CHECK,1,1789597246576.802,4,True,C6_execution_short,3,0.0007685739547014236
True,execution_queued,250,535b7aaaeb064ff191dcb7a46170ec49,1789597262675.138,1,1789597284948.8242,-22273.686279296875,,ON_TIME_VIRTUAL_ACTUATION,1,1789597254951.477,4,True,C7_execution_long,30,0.0016812700778245926
,broker_offline,,7cdaf56b9745411a9bead9abd36c96bc,,0,,,Persistent session resumed; long-lived queued sentinel delivered.,BROKER_CONTROL_PASS,,,5,,C0_broker_offline,,
False,baseline_queued,250,664c9ea230114f7e92f99492ad1e97bb,1789597278301.623,1,1789597281296.7908,-2995.167724609375,,ON_TIME_VIRTUAL_ACTUATION,1,1789597278305.274,5,True,C1_idle_short,3,0.0008721835911273956
True,baseline_queued,250,b8be374274a44a57a88e989b7767f91c,1789597294673.944,1,1789597289949.5972,4724.346923828125,,LATE_VIRTUAL_ACTUATION,1,1789597286951.4512,5,True,C2_queued_short,3,0.001264270395040512
True,baseline_queued,250,b7c2b2611c904c56aaf4080faf22b29b,1789597311046.504,1,1789597333320.6135,-22274.109619140625,,ON_TIME_VIRTUAL_ACTUATION,1,1789597303327.902,5,True,C3_queued_long,30,0.0008575152605772018
True,baseline_parallel,250,3d7293a8ed7142218872d20061e5aefa,1789597319682.672,1,1789597322680.8523,-2998.18017578125,,ON_TIME_VIRTUAL_ACTUATION,1,1789597319690.625,5,True,C4_parallel_short,3,0.0014302786439657211
True,admission_queued,250,28259a8a771147449992f7ffd7b2bbdc,1789597336041.2122,1,1789597331315.975,4725.237060546875,,LATE_VIRTUAL_ACTUATION,1,1789597328322.96,5,True,C5_admission_short,3,0.0027669593691825867
True,execution_queued,250,1723564ddf3a42e7bb0c4cd6292cbfef,,0,1789597347697.3557,,,REJECTED_AT_EXECUTION_CHECK,1,1789597344699.5188,5,True,C6_execution_short,3,0.0001019798219203949
True,execution_queued,250,7b5c6a4743b7415a9d925b459d1a5a96,1789597360805.519,1,1789597383080.726,-22275.20703125,,ON_TIME_VIRTUAL_ACTUATION,1,1789597353087.825,5,True,C7_execution_long,30,0.0012852251529693604
